Gender,Percentile,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
Men,14.4,19067.76,18969.92,19182,19185.752,19340.696,19745,20131.312,21027.344,21863.024,23521,25672.208,27648.536
Men,14.5,19050,18948.975,19162,19166.41,19321.43,19719,20108.21,20986,21847.17,23491.69,25587.76,27628.54
Men,14.6,19033.01,18931,19139.952,19141,19294,19698.308,20093.554,20973.892,21819.264,23426.16,25571.352,27603.792
Men,14.7,19013.565,18911,19117.328,19123.726,19265.898,19678,20076,20956,21792.848,23417.668,25538.976,27578.528
Men,14.8,18983,18886,19091,19097.768,19245,19652.008,20060.452,20935.548,21766.608,23404.104,25467.592,27550.552
Men,14.9,18965,18865.195,19070,19078,19224,19636.102,20039.401,20911.599,21729.262,23375.564,25442.68,27517.23
Men,15,18948,18845.25,19050.8,19058,19198,19616.7,20017.35,20887.65,21703.9,23328.1,25419.4,27471.5
Men,15.1,18925,18825,19035,19045.358,19181.834,19593.192,19994.598,20864.206,21672.322,23309.496,25385.368,27444.096
Men,15.2,18904.04,18813,19017.224,19023,19152.568,19572.896,19979,20846.016,21651.576,23280,25375,27439.792
Men,15.3,18890.935,18798,18995,18996,19138.604,19555.494,19952.197,20819.015,21628,23250.844,25343.744,27395.924
Men,15.4,18877.66,18779.47,18981,18975,19119,19536.092,19927,20799.708,21609.968,23218.392,25336.28,27323.832
Men,15.5,18858.725,18763,18958.86,18954,19094,19516.07,19906.095,20777.905,21587,23197,25330.6,27281.38
Men,15.6,18842.62,18745,18936,18936,19074.504,19499,19881.088,20752.912,21567.432,23175.744,25317.84,27250.176
Men,15.7,18827.515,18726.27,18919.284,18912.306,19055,19483.886,19854,20739,21547.532,23155.252,25303.24,27228.292
Men,15.8,18812.41,18703.69,18898,18893,19032,19459,19835.942,20711.174,21525.204,23140.292,25296.256,27207.952
Men,15.9,18795.305,18680.745,18884.708,18880,19006.706,19438.082,19820.673,20689.218,21495.428,23108.462,25168.808,27201.496
Men,16,18780,18664,18865.84,18855.28,18991,19417.68,19799,20673,21484.72,23090.52,25153.4,27191.04
Men,16.1,18756,18643.855,18841,18839,18969.174,19396,19781.789,20657,21459.506,23075,25099.024,27157.684
Men,16.2,18740,18623,18828,18820,18956,19373.876,19768,20632.786,21444.608,23063.492,25083.376,27118.244
Men,16.3,18724,18605.965,18804,18797.254,18935.284,19356.422,19751.687,20596.565,21420.384,23036.754,25055.736,27063.906
Men,16.4,18711,18582.02,18783,18776,18921.376,19337,19731.636,20579,21396,23013.36,25040.592,27031.608
Men,16.5,18696.675,18562,18759.98,18755.57,18899,19319.34,19714.755,20560.83,21384,22983.81,24994.4,27028.38
Men,16.6,18675.57,18539.13,18733.192,18733,18881,19290.268,19700.534,20542.466,21367.236,22934.936,24966.296,27017.144
Men,16.7,18661,18519,18716.404,18714.886,18858.578,19271,19677,20523.517,21351.764,22922.774,24963,26999.928
Men,16.8,18638.36,18503.24,18699.616,18694,18837,19249,19662.728,20509,21328,22886.128,24924.984,26951.608
Men,16.9,18623,18486,18681.828,18675.202,18813,19231,19642.381,20490,21307,22856.806,24902,26890.814
Men,17,18610.15,18471,18662.04,18661,18792.78,19210,19622.33,20469,21298,22847.32,24890,26872.8
Men,17.1,18592.045,18452.405,18641,18640.518,18778,19194.774,19598.279,20444.163,21280,22822.708,24886.576,26862.04
Men,17.2,18577.94,18432.46,18620,18620,18760.248,19171.856,19577.228,20423.316,21261,22795.128,24845.08,26782.672
